NID_ID,STATE,DAM_NAME,OTHER_NAME,HAZARD,EAP,STATE_NAME,COUNTY,NEAR_CITY,DIST_CITY,RIVER,YEAR_COMPL,OWNER,OWN_TYPE,INSP_DATE
OH00001,OH,"PLEASANT HILL DAM","PLEASANT HILL LAKE",HIGH,YES,OHIO,ASHLAND,BRINKHAVEN,20,"CLEAR FORK OF MOHICAN RIVER",1937,DAEN-ORH,FEDERAL,"1990-08-07 00:00:00"
OH00002,OH,"WILLS CREEK DAM","WILLS CREEK LAKE",HIGH,NO,OHIO,"MUSKINGUM AND COSHOCTON","WILLS CREEK",2,"WILLS CREEK",1936,DAEN-ORH,FEDERAL,"1991-08-06 00:00:00"
OH00003,OH,"DOVER DAM",NONE,HIGH,NO,OHIO,TUSCARAWAS,DOVER,4,"TUSCARAWAS RIVER",1938,"DAEN ORH",FEDERAL,"1991-06-11 00:00:00"
OH00004,OH,"BOLIVAR DAM","(NONE) DRY RESERVOIR",HIGH,NO,OHIO,"TUSCARAWAS AND STARK",BOLIVAR,2,"SANDY CREEK",1938,"DAEN ORH",FEDERAL,"1991-06-13 00:00:00"
OH00005,OH,"BEACH CITY DAM","BEACH CITY LAKE",HIGH,NO,OHIO,TUSCARAWAS,"BEACH CITY",2,"SUGAR CREEK OF TUSCARAWAS RVR",1936,"DAEN ORH",FEDERAL,"1993-08-19 00:00:00"
OH00006,OH,"ATWOOD DAM","ATWOOD LAKE",HIGH,YES,OHIO,TUSCARAWAS,"NEW CUMBERLAND",4,"INDIAN FORK OF CONOTTON CREEK",1936,"DAEN ORH",FEDERAL,"1991-06-12 00:00:00"
OH00007,OH,"DILLON DAM","DILLON LAKE",HIGH,NO,OHIO,MUSKINGUM,ZANESVILLE,3,"LICKING RIVER",1960,DAEN-ORH,FEDERAL,"1994-08-09 00:00:00"
OH00008,OH,"DEER CREEK DAM","DEER CREEK LAKE",HIGH,YES,OHIO,PICKAWAY,WILLIAMSPORT,9,"DEER CREEK",1968,DAEN-ORH,FEDERAL,"1990-09-11 00:00:00"
OH00009,OH,"NORTH BRANCH OF KOKOSING DAM","NORTH BRANCH OF KOKOSING LAKE",HIGH,YES,OHIO,KNOX,FREDERICKTOWN,2,"NORTH BRANCH OF KOKOSING",1972,DAEN-ORH,FEDERAL,"1993-08-17 00:00:00"
OH00010,OH,"TAPPAN DAM","TAPPAN LAKE",HIGH,NO,OHIO,HARRISON,DENNISON,7,"LITTLE STILLWATER CREEK",1936,"DAEN ORH",FEDERAL,"1994-06-28 00:00:00"
OH00011,OH,"PIEDMONT DAM","PIEDMONT LAKE",HIGH,NO,OHIO,HARRISON,FREEPORT,4,"STILLWATER CREEK",1937,DAEN-ORH,FEDERAL,"1994-06-27 00:00:00"
OH00012,OH,"CLENDENING DAM","CLENDENING LAKE",HIGH,NO,OHIO,HARRISON,TIPPECANOE,1,"BRUSHY FK OF STILLWATER CK",1936,"DAEN ORH",FEDERAL,"1994-06-29 00:00:00"
OH00013,OH,"SENECAVILLE DAM","SENECAVILLE LAKE",HIGH,NO,OHIO,GUERNSEY,SENECAVILLE,2,"SENECA FORK OF WILLS CREEK",1937,"DAEN ORH",FEDERAL,"1991-08-07 00:00:00"
OH00014,OH,"LEESVILLE DAM","LEESVILLE LAKE",HIGH,NO,OHIO,CARROLL,SHERRODVILLE,4,"MCGUIRE CREEK",1937,DAEN-ORH,FEDERAL,"1993-08-17 00:00:00"
OH00015,OH,"DELAWARE DAM","DELAWARE LAKE",HIGH,YES,OHIO,DELAWARE,DELAWARE,3,"OLENTANGY RIVER",1948,DAEN-ORH,FEDERAL,"1990-07-16 00:00:00"
OH00016,OH,"MOHAWK DAM","NONE - DRY DAM",HIGH,YES,OHIO,COSHOCTON,WARSAW,6,"WALHONDING RIVER",1937,"DAEN ORH",FEDERAL,"1990-08-08 00:00:00"
OH00017,OH,"PAINT CREEK DAM","PAINT CREEK LAKE",HIGH,YES,OHIO,"HIGHLAND AND ROSS",BAINBRIDGE,6,"PAINT CREEK",1973,DAEN-ORH,FEDERAL,"1990-09-12 00:00:00"
OH00018,OH,"TOM JENKINS DAM","BURR OAK LAKE",HIGH,YES,OHIO,ATHENS,GLOUSTER,3,"EAST BR OF SUNDAY CK",1950,DAEN-ORH,FEDERAL,"1995-06-26 00:00:00"
OH00019,OH,"MOHICANVILLE DAM","NONE-DRY DAM",HIGH,NO,OHIO,ASHLAND,BRINKHAVEN,20,"LAKE FORK OF MOHICAN RIVER",1937,DAEN-ORH,FEDERAL,"1992-07-07 00:00:00"
OH00020,OH,"CHARLES MILL DAM","CHARLES MILL LAKE",HIGH,NO,OHIO,ASHLAND,PERRYVILLE,8,"BLACK FORK OF MOHICAN RIVER",1936,"DAEN ORH",FEDERAL,"1992-07-08 00:00:00"
OH00022,OH,"SUN VALLEY LAKE DAM",NULL,LOW,NULL,OHIO,ROSS,"NORTH FORK VILLAGE",1.3,"TR-NORTH FORK PAINT CREEK",1955,"SUN VALLEY LAKE CLUB, INC.",PRIVATE,"1995-03-28 00:00:00"
OH00023,OH,"CALDWELL LAKE DAM",NULL,HIGH,NULL,OHIO,ROSS,PRIDE,NULL,"TR-STONY CREEK",1937,"ODNR, DIV. OF PARKS & REC",STATE,"1990-03-08 00:00:00"
OH00024,OH,"STEWART LAKE DAM",NULL,HIGH,NULL,OHIO,ROSS,PRIDE,NULL,"TR-STONY CREEK",1939,"ODNR, DIVISION OF PARKS & RECREATION",STATE,"1990-03-08 00:00:00"
OH00025,OH,"MEAD FOREMEN'S CLUB POND DAM",NULL,HIGH,NULL,OHIO,ROSS,ALMA,NULL,"TR-CROOKED CREEK",1968,"MEAD FOREMEN'S CLUB",PRIVATE,"1993-01-20 00:00:00"
OH00026,OH,"PINE LAKE DAM",NULL,LOW,NULL,OHIO,ROSS,JIMTOWN,NULL,"TR-PIKE RUN",1938,"ODNR, DIV. OF PARKS & REC",STATE,"1985-07-23 00:00:00"
OH00027,OH,"CHRISTIAN UNION CHURCH LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,ROSS,MORGANTOWN,NULL,"TR-MORGAN FORK",1968,"CHURCHES OF CHRIST IN CHRISTIAN UNION",PRIVATE,"1991-02-20 00:00:00"
OH00028,OH,"CLARENCE J BROWN DAM","CLARENCE J BROWN RESERVOIR",HIGH,YES,OHIO,CLARK,SPRINGFIELD,2,"BUCK CREEK",1973,"DAEN ORL",FEDERAL,"1991-05-29 00:00:00"
OH00029,OH,"WEST FORK OF MILL CREEK LAKE DAM","WEST FORK OF MILL CREEK LAKE",HIGH,YES,OHIO,HAMILTON,WOODLAND,2,"WEST FORK OF MILL CREEK",1952,DAEN-ORL,FEDERAL,"1990-07-12 00:00:00"
OH00030,OH,"MICHAEL J KIRWAN DAM AND RESERVOIR","MICHAEL J KIRWAN RESERVOIR",HIGH,YES,OHIO,PORTAGE,WAYLAND,1,"WEST BRANCH OF THE MAHONING",1966,"DAEN ORP",FEDERAL,"1991-06-06 00:00:00"
OH00031,OH,"MOSQUITO CREEK DAM","MOSQUITO CREEK LAKE",HIGH,YES,OHIO,TRUMBULL,WARREN,3,"MOSQUITO CREEK",1944,"DAEN ORP",FEDERAL,"1991-06-05 00:00:00"
OH00032,OH,"BERLIN DAM","BERLIN LAKE",HIGH,YES,OHIO,PORTAGE,PRICETOWN,8,"MAHONING RIVER",1943,"DAEN ORP",FEDERAL,"1992-06-11 00:00:00"
OH00034,OH,"BROKEN ARO SLURRY POND NO. 1 DAM",NULL,SIGNIFICANT,NULL,OHIO,COSHOCTON,DRESDEN,9.5,"TR-MILL FORK",1962,"ODNR, DIVISION OF WILDLIFE",STATE,"1972-10-05 00:00:00"
OH00035,OH,"BROKEN ARO SLURRY POND NO. 2 DAM",NULL,SIGNIFICANT,NULL,OHIO,COSHOCTON,DRESDEN,9.5,"TR-MILL FORK",1966,"ODNR, DIVISION OF WILDLIFE",STATE,"1972-10-05 00:00:00"
